story_id;sent_id;token_id;deprel;form;cluster;mention;comment
6;0;1;nsubj;This;;;
6;0;2;cop;is;;;
6;0;3;det;a;;;
6;0;4;root;story;;;
6;0;5;mark;of;;;
6;0;6;advmod;how;;;
6;0;7;compound;Mr.;0;;
6;0;8;nsubj;Sticky;0;;
6;0;9;acl;got;;;
6;0;10;case;in;;;
6;0;11.1;nmod:poss;Abby;1;;
6;0;11.2;case;'s;1;;
6;0;12;compound;fish;2;;
6;0;13.1;nmod;tank;2;;
6;0;13.2;punct;.;;;
6;1;14.1;punct;``;;;
6;1;14.2;nsubj;He;;0;
6;1;14.3;cop;'s;;;
6;1;15;advmod;very;;;
6;1;16.1;ccomp;small;;;
6;1;16.2;punct;,;;;
6;1;16.3;punct;'';;;
6;1;17.1;nmod:poss;Abby;3;1;
6;1;17.2;case;'s;3;1;
6;1;18;nsubj;mom;3;;
6;1;19;root;said;;;
6;1;20;mark;as;;;
6;1;21;nsubj;she;;3;
6;1;22;advcl;peered;;;
6;1;23;case;at;;;
6;1;24;det;the;;0;
6;1;25;amod;tiny;;0;
6;1;26;compound;water;;0;
6;1;27.1;nmod;snail;;0;
6;1;27.2;punct;.;;;
6;2;28;nsubj;Abby;;1;
6;2;29;root;said;;;
6;2;30;mark;that;;;
6;2;31;nsubj;he;;0;
6;2;32;aux;would;;;
6;2;33;ccomp;grow;;;
6;2;34;cc;and;;;
6;2;35;advmod;then;;;
6;2;36;conj;pulled;;;
6;2;37;nmod:poss;her;;1;
6;2;38;compound;pajama;4;;
6;2;39;dobj;bottoms;4;;
6;2;40;advmod;up;;;
6;2;41;advmod;again;;;
6;2;42;mark;before;;;
6;2;43;nsubj;she;;1;
6;2;44;advcl;got;;;
6;2;45;case;into;;;
6;2;46.1;nmod;bed;;;Fixed expression, shouldn’t be annotated
6;2;46.2;punct;,;;;
6;2;47;mark;for;;;
6;2;48;nsubj;they;;4;
6;2;49;aux;were;;;
6;2;50;advmod;always;;;
6;2;51;advcl;falling;;;
6;2;52.1;compound:prt;down;;;
6;2;52.2;punct;.;;;
6;3;53.1;advmod;Usually;;;
6;3;53.2;punct;,;;;
6;3;54.1;nmod:poss;Abby;;3;
6;3;54.2;case;'s;;3;
6;3;55;nsubj;mom;;3;
6;3;56;root;got;;;
6;3;57;compound:prt;up;;;
6;3;58;case;at;;;
6;3;59;det;the;;;
6;3;60;nmod;crack;;;
6;3;61;case;of;;;
6;3;62.1;nmod;dawn;;;
6;3;62.2;punct;,;;;
6;3;63;cc;but;;;
6;3;64;nsubj;it;;;
6;3;65;cop;was;;;
6;3;66;conj;Abby;;1;
6;3;67;nsubj;who;;1;
6;3;68;acl:relcl;jumped;;;
6;3;69;compound:prt;out;;;
6;3;70;case;of;;;
6;3;71;nmod;bed;;;
6;3;72;advmod;first;;;
6;3;73;det;the;;;
6;3;74;amod;next;;;
6;3;75;nmod:tmod;morning;;;
6;3;76;cc;and;;;
6;3;77;conj;switched;;;
6;3;78;compound:prt;on;;;
6;3;79;det;the;;;
6;3;80;dobj;light;;;
6;3;81;case;in;;;
6;3;82;nmod:poss;her;;1;
6;3;83;compound;fish;;2;
6;3;84.1;nmod;tank;;2;
6;3;84.2;punct;,;;;
6;3;85;nsubj;which;;2;
6;3;86;acl:relcl;contained;;;
6;3;87;nummod;three;;;
6;3;88.1;dobj;fish;;;
6;3;88.2;punct;.;;;
6;4;89;case;At;;;
6;4;90.1;nmod;first;;;
6;4;90.2;punct;,;;;
6;4;91;nsubj;she;;1;
6;4;92;aux;could;;;
6;4;93;root;see;;;
6;4;94;cc:preconj;neither;;;
6;4;95;dobj;hide;;;
6;4;96;cc;nor;;;
6;4;97;conj;hair;;;
6;4;98;case;of;;;
6;4;99;det;the;;0;
6;4;100.1;nmod;snail;;0;
6;4;100.2;punct;,;;;
6;4;101;cc;but;;;
6;4;102;advmod;then;;;
6;4;103;nsubj;she;;1;
6;4;104;conj;spotted;;;
6;4;105.1;dobj;him;;0;
6;4;105.2;punct;.;;;
6;5;106;nsubj;It;;;
6;5;107;aux;had;;;
6;5;108;root;taken;;;
6;5;109;iobj;Abby;;1;
6;5;110;det;a;;;
6;5;111;dobj;while;;;
6;5;112;mark;to;;;
6;5;113;advcl;find;;;
6;5;114;dobj;Sticky;;0;
6;5;115;mark;because;;;
6;5;116;nsubj;he;;0;
6;5;117;aux;was;;;
6;5;118;advcl;clinging;;;
6;5;119;case;to;;;
6;5;120;det;the;;;
6;5;121;nmod;glass;;;
6;5;122;case;near;;;
6;5;123;det;the;;;
6;5;124.1;nmod;bottom;;;
6;5;124.2;punct;,;;;
6;5;125;advmod;right;;;
6;5;126;advmod;next;;;
6;5;127;case;to;;;
6;5;128;det;the;;;
6;5;129.1;nmod;gravel;;;
6;5;129.2;punct;.;;;
6;6;130;case;At;;;
6;6;131;nmod;school;;;
6;6;132;det;that;;;
6;6;133.1;advmod;day;;;
6;6;133.2;punct;,;;;
6;6;134.1;nsubj;Abby;;1;
6;6;134.2;punct;,;;;
6;6;135;acl;encouraged;;;
6;6;136;case;by;;;
6;6;137;nmod:poss;her;;1;
6;6;138.1;nmod;teacher;5;;
6;6;138.2;punct;,;;;
6;6;139;root;wrote;;;
6;6;140;advmod;excitedly;;;
6;6;141;case;about;;;
6;6;142;det;the;;0;
6;6;143;amod;small;;0;
6;6;144;cc;and;;0;
6;6;145;conj;mysterious;;0;
6;6;146;compound;Mr.;;0;
6;6;147.1;nmod;Sticky;;0;
6;6;147.2;punct;,;;;
6;6;148;dobj;who;;0;
6;6;149;nsubj;you;;;
6;6;150;aux;could;;;
6;6;151;acl:relcl;mistake;;;
6;6;152;case;for;;;
6;6;153;det;a;;;
6;6;154;nmod;piece;;;
6;6;155;case;of;;;
6;6;156.1;nmod;gravel;;;
6;6;156.2;punct;.;;;
6;7;157;nsubj;He;;0;
6;7;158;ccomp;seemed;;;
6;7;159;det;an;;;
6;7;160;amod;ideal;;;
6;7;161;xcomp;pet;;;
6;7;162;case;for;;;
6;7;163.1;nmod;her;;1;
6;7;163.2;punct;,;;;
6;7;164;nsubj;some;;;
6;7;165;case;of;;;
6;7;166;det;the;;;
6;7;167;nmod;girls;;;
6;7;168;case;in;;;
6;7;169;nmod:poss;her;;1;
6;7;170;nmod;class;;;
6;7;171.1;root;teased;;;
6;7;171.2;punct;,;;;
6;7;172;mark;because;;;
6;7;173;nsubj;Abby;;1;
6;7;174;cop;was;;;
6;7;175;advmod;also;;;
6;7;176;advmod;very;;;
6;7;177.1;advcl;small;;;
6;7;177.2;punct;.;;;
6;8;178;det;That;;;
6;8;179.1;dep;evening;;;
6;8;179.2;punct;,;;;
6;8;180;nsubj;Abby;;1;
6;8;181;root;turned;;;
6;8;182;compound:prt;on;;;
6;8;183;det;the;;;
6;8;184;dobj;light;;;
6;8;185;cc;and;;;
6;8;186;conj;found;;;
6;8;187;compound;Mr.;;0;
6;8;188;nsubj;Sticky;;0;
6;8;189;ccomp;clinging;;;
6;8;190;case;to;;;
6;8;191;det;the;13;;
6;8;192;amod;pond;13;;
6;8;193;nmod;weed;13;;
6;8;194;cc;and;;;
6;8;195;conj;bobbing;;;
6;8;196;compound:prt;about;;;
6;8;197;case;in;;;
6;8;198;det;the;;;
6;8;199;compound;air;;;
6;8;200.1;nmod;bubbles;;;
6;8;200.2;punct;.;;;
6;9;201.1;punct;``;;;
6;9;201.2;nsubj;That;;;
6;9;202;dep;looks;;;
6;9;203.1;dobj;fun;;;
